Customer ID,Recency,Frequency,Monetary,Revenue_per_Order,Is_OneTime_Buyer,Monetary_Rank,Frequency_Rank,High_Value,Log_Frequency,Log_Monetary,Churned,Churn_Predicted,Churn_Probability
12346.0,133,12,77556.46,6463.038333333334,0,0.9982300884955753,0.911283185840708,1,2.5649493574615367,11.258774359980725,1,1,0.711784487913403
12608.0,212,1,415.79,415.79,1,0.33915929203539824,0.15663716814159293,0,0.6931471805599453,6.03258249782888,1,1,0.6793582635190811
12745.0,294,2,723.85,361.925,0,0.493141592920354,0.3995575221238938,0,1.0986122886681098,6.585964736896907,1,1,0.6654074926590666
12746.0,348,1,254.55,254.55,1,0.1993362831858407,0.15663716814159293,0,0.6931471805599453,5.543418085214289,1,1,0.8332943984997669
12747.0,6,21,7171.93,341.5204761904762,0,0.9486725663716814,0.9667035398230088,1,3.091042453358316,8.878069497261029,0,0,0.054679142174780385
12748.0,0,213,32430.44,152.2555868544601,0,0.9933628318584071,1.0,1,5.365976015021851,10.386883601645815,0,0,0.2431443566136085
12749.0,21,5,3665.58,733.116,0,0.8767699115044247,0.7085176991150443,1,1.791759469228055,8.207014626469418,0,0,0.14535582834144847
12777.0,265,1,519.45,519.45,1,0.3973451327433628,0.15663716814159293,0,0.6931471805599453,6.254693821961477,1,1,0.7226334962118651
12819.0,266,1,540.52,540.52,1,0.4086283185840708,0.15663716814159293,0,0.6931471805599453,6.294380000200352,1,1,0.7217177378884565
12820.0,134,8,1917.64,239.705,0,0.7482300884955753,0.8337389380530974,0,2.1972245773362196,7.55937188070191,0,0,0.2590272763753313
12821.0,22,2,220.8,110.4,0,0.1661504424778761,0.3995575221238938,0,1.0986122886681098,5.401776074916267,1,0,0.4616229284750337
12823.0,62,16,5736.5,358.53125,0,0.9311946902654867,0.945353982300885,1,2.833213344056216,8.6547788543688,0,0,0.08429892062858207
12825.0,329,2,518.63,259.315,0,0.39668141592920353,0.3995575221238938,0,1.0986122886681098,6.253117019850299,1,1,0.7292832982961501
12826.0,124,8,2178.13,272.26625,0,0.7780973451327433,0.8337389380530974,1,2.1972245773362196,7.686680993559686,0,0,0.1917157069995988
12829.0,144,3,385.3,128.43333333333334,0,0.3168141592920354,0.5412610619469026,0,1.3862943611198906,5.956614269672236,1,1,0.5221707563982911
12831.0,70,3,451.11,150.37,0,0.3654867256637168,0.5412610619469026,0,1.3862943611198906,6.113925513056159,1,0,0.4107330076374865
12834.0,90,1,312.38,312.38,1,0.2537610619469027,0.15663716814159293,0,0.6931471805599453,5.7474165116762626,1,1,0.5612532332420486
12835.0,235,41,6043.31,147.3978048780488,0,0.9371681415929204,0.9917035398230089,1,3.7376696182833684,8.706872612613385,1,0,0.13549552252612837
12836.0,27,13,5634.16,433.3969230769231,0,0.9289823008849557,0.9221238938053097,1,2.6390573296152584,8.636780820037059,0,0,0.08101478994097339
12837.0,377,1,554.31,554.31,1,0.4168141592920354,0.15663716814159293,0,0.6931471805599453,6.3195265163692245,0,1,0.8174661402431385
12838.0,181,9,3106.14,345.12666666666667,0,0.8475663716814159,0.8591814159292035,1,2.302585092994046,8.041457967920865,0,0,0.21013079765932394
12839.0,6,16,5876.2,367.2625,0,0.9338495575221238,0.945353982300885,1,2.833213344056216,8.67883573700179,0,0,0.06483654771598665
12840.0,22,5,2893.17,578.634,0,0.8360619469026549,0.7085176991150443,1,1.791759469228055,7.970453647691466,0,0,0.14766668796586155
12841.0,30,27,5479.59,202.9477777777778,0,0.9254424778761062,0.9801991150442478,1,3.332204510175204,8.60896803838026,0,0,0.05881502916498659
12842.0,116,3,1109.73,369.91,0,0.613716814159292,0.5412610619469026,0,1.3862943611198906,7.012772735802009,0,0,0.3764399798343723
12843.0,21,25,5513.21,220.5284,0,0.9258849557522124,0.9765486725663717,1,3.258096538021482,8.615083675733395,0,0,0.05769296423296498
12844.0,250,2,322.64,161.32,0,0.26415929203539823,0.3995575221238938,0,1.0986122886681098,5.779631786939639,0,1,0.6913247876167555
12845.0,75,4,354.09000000000003,88.52250000000001,0,0.2940265486725664,0.6379424778761061,0,1.6094379124341003,5.872371278471126,1,0,0.42722749072474303
12846.0,490,1,15.58,15.58,1,0.00331858407079646,0.15663716814159293,0,0.6931471805599453,2.8081971497071487,1,1,0.9587244002496491
12847.0,195,1,765.36,765.36,1,0.5086283185840708,0.15663716814159293,0,0.6931471805599453,6.641652033227792,0,1,0.6317968827776725
12848.0,483,1,208.0,208.0,1,0.15265486725663716,0.15663716814159293,0,0.6931471805599453,5.342334251964811,1,1,0.9135304343556117
12849.0,76,5,2744.17,548.8340000000001,0,0.8243362831858407,0.7085176991150443,1,1.791759469228055,7.917598282809242,0,0,0.18613652926815516
12850.0,253,1,330.0,330.0,1,0.27289823008849556,0.15663716814159293,0,0.6931471805599453,5.802118375377063,1,1,0.7377729290474707
12851.0,285,1,148.95,148.95,1,0.09358407079646018,0.15663716814159293,0,0.6931471805599453,5.010301905195018,0,1,0.8158742221632633
12852.0,102,1,311.55,311.55,1,0.25309734513274335,0.15663716814159293,0,0.6931471805599453,5.744764456377822,1,1,0.5761420961406893
12853.0,47,8,2835.4,354.425,0,0.8314159292035398,0.8337389380530974,1,2.1972245773362196,7.950290921429842,0,0,0.12985333593190182
12854.0,49,6,2479.89,413.315,0,0.8077433628318584,0.760287610619469,1,1.9459101490553132,7.816372645747986,0,0,0.1542649932359079
12855.0,180,4,650.94,162.735,0,0.4652654867256637,0.6379424778761061,0,1.6094379124341003,6.479952533152258,1,0,0.4819518237818387
12857.0,18,6,3688.0,614.6666666666666,0,0.8774336283185841,0.760287610619469,1,1.9459101490553132,8.213110697596676,1,0,0.12825561925836534
